,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
0,TemporalFusionTransformer,-0.36668168742527907,-0.19738209158001715,0.09206652641296387,0.0298764705657959,45.04961538314819,10
1,WeightedEnsemble,-0.4040292205046016,-0.15731539484791268,59.223721742630005,54.70948576927185,1.0372803211212158,13
2,AutoETS,-0.4090783412339273,-0.25670001167614137,18.365818977355957,17.494072675704956,0.03215765953063965,7
3,DynamicOptimizedTheta,-0.41107439629007925,-0.2455434250645954,18.688772916793823,17.82327151298523,0.032453298568725586,6
4,CrostonSBA,-0.44358539246566475,-0.18381226085875912,7.980813026428223,7.135320425033569,0.01942276954650879,4
5,DeepAR,-0.4509927657915182,-0.16309203335661485,0.09615492820739746,0.07969355583190918,49.31515455245972,11
6,AutoARIMA,-0.4768191050202981,-0.6510164128403606,12.100962162017822,10.819653034210205,0.03261375427246094,8
7,SeasonalNaive,-0.47884988532472783,-0.3100109722123239,1.8107187747955322,1.268674612045288,0.018116474151611328,1
8,Chronos[base],-0.49704013962253246,-0.28278366211266603,2.605201244354248,3.5959811210632324,0.009289026260375977,9
9,PatchTST,-0.5024485275809554,-0.23408596138956483,0.03509879112243652,0.013588905334472656,17.14146637916565,12
10,DirectTabular,-0.5459378998717253,-0.1904333249184771,0.07965564727783203,0.05892348289489746,1.4532952308654785,3
11,RecursiveTabular,-0.5744359909780925,-0.3488517542840782,0.2864997386932373,1.0794939994812012,2.583258628845215,2
12,NPTS,-0.6834671888954903,-0.3767298474198523,1.8522868156433105,0.8436157703399658,0.024463891983032227,5
