,MASE,RMSE,MAPE,SMAPE,MAE,RMSSE,WAPE,WQL,SQL,model_name
0,-0.06561573596094414,-0.07315138189628821,-0.3825075333331016,-0.3015147500764973,-0.06561573596094414,-0.07315138189628821,-0.3382333402486314,-0.2708863212092952,-0.05255071931949362,SeasonalNaive
1,-0.0739044475824688,-0.08122817078403731,-0.42688039275598777,-0.33122420255004104,-0.0739044475824688,-0.08122817078403731,-0.3809596554693377,-0.2985807649437942,-0.057923315960417075,RecursiveTabular
2,-0.061613356432971646,-0.06952488928944611,-0.3610550210080786,-0.2864441696514367,-0.061613356432971646,-0.06952488928944611,-0.3176020362349928,-0.29102873324385414,-0.056458256017988886,DirectTabular
3,-0.03779271183861975,-0.045958583273999515,-0.2280496403357232,-0.19053344610406697,-0.03779271183861975,-0.045958583273999515,-0.19481234150660012,-0.14650225885875606,-0.028420774628224794,CrostonSBA
4,-0.053482015894476244,-0.063893197296087,-0.3088084119588622,-0.26439110454434334,-0.053482015894476244,-0.063893197296087,-0.27568693110424436,-0.2708003451825239,-0.052534040359733324,NPTS
5,-0.04864702610625509,-0.05801213366255261,-0.2915410183928577,-0.23568321498670902,-0.04864702610625509,-0.05801213366255261,-0.250763721416991,-0.1854827158483217,-0.0359828067199876,DynamicOptimizedTheta
6,-0.05130667419461813,-0.060590497912075186,-0.3062232096784489,-0.24631765245945467,-0.05130667419461813,-0.060590497912075186,-0.2644735677463588,-0.2042668158331455,-0.0396268370333865,AutoETS
7,-0.045451940234625995,-0.055664980302452594,-0.2732123929511045,-0.22132281870194662,-0.045451940234625995,-0.055664980302452594,-0.23429382207172467,-0.21150561305275278,-0.04103113090544362,AutoARIMA
8,-0.041405362024443185,-0.04902977324980554,-0.24732695576630373,-0.20603413066893816,-0.041405362024443185,-0.04902977324980554,-0.21343468447975847,-0.1737266546218553,-0.03370218409180588,Chronos[base]
9,-0.07388416763311353,-0.08071047105798003,-0.4266940743438754,-0.33181261289190733,-0.07388416763311353,-0.08071047105798003,-0.3808551172071351,-0.29110300085738383,-0.05647266359861425,TemporalFusionTransformer
10,-0.07893031325107543,-0.08506170136378292,-0.4522773428185573,-0.34987479151628026,-0.07893031325107543,-0.08506170136378292,-0.4068667844200145,-0.30784250882147823,-0.059720052321088325,DeepAR
11,-0.10054215823002607,-0.10906237098114899,-0.5564310749699511,-0.4145094126882499,-0.10054215823002607,-0.10906237098114899,-0.5182706482815289,-0.43000180119709813,-0.08341840171444585,PatchTST
12,-0.044224809449117775,-0.0558530974333093,-0.2655231365055989,-0.21645674829635203,-0.044224809449117775,-0.0558530974333093,-0.22796825796083178,-0.19036571741364522,-0.03693008690582504,WeightedEnsemble
